dataset,metric_name,value_str
elec,multisample_glu_rs/CRPS,0.3788±0.0075
elec,multisample_glu_rs/ND,0.3824±0.0076
elec,multisample_glu_rs/NRMSE,3.5626±0.0833
elec,multisample_glu_rs/CRPS_Sum,0.3505±0.0075
elec,multisample_glu_rs/ND_Sum,0.3519±0.0075
elec,multisample_glu_rs/NRMSE_Sum,0.3714±0.0073
sol,multisample_glu_rs/CRPS,1.3469±0.0288
sol,multisample_glu_rs/ND,1.3637±0.0289
sol,multisample_glu_rs/NRMSE,1.7967±0.0371
sol,multisample_glu_rs/CRPS_Sum,1.3323±0.0305
sol,multisample_glu_rs/ND_Sum,1.3343±0.0305
sol,multisample_glu_rs/NRMSE_Sum,1.5985±0.0359
cup,multisample_glu_rs/CRPS,0.6256±0.0142
cup,multisample_glu_rs/ND,0.6342±0.0141
cup,multisample_glu_rs/NRMSE,1.1524±0.0180
cup,multisample_glu_rs/CRPS_Sum,0.3622±0.0127
cup,multisample_glu_rs/ND_Sum,0.3630±0.0127
cup,multisample_glu_rs/NRMSE_Sum,0.4955±0.0147
traf,multisample_glu_rs/CRPS,0.5390±0.0070
traf,multisample_glu_rs/ND,0.5471±0.0070
traf,multisample_glu_rs/NRMSE,0.8123±0.0069
traf,multisample_glu_rs/CRPS_Sum,0.4778±0.0058
traf,multisample_glu_rs/ND_Sum,0.4782±0.0058
traf,multisample_glu_rs/NRMSE_Sum,0.5520±0.0087
taxi,multisample_glu_rs/CRPS,0.6706±0.0047
taxi,multisample_glu_rs/ND,0.6794±0.0048
taxi,multisample_glu_rs/NRMSE,0.9738±0.0065
taxi,multisample_glu_rs/CRPS_Sum,0.4517±0.0101
taxi,multisample_glu_rs/ND_Sum,0.4521±0.0102
taxi,multisample_glu_rs/NRMSE_Sum,0.5479±0.0084
wiki,multisample_glu_rs/CRPS,0.4869±0.0087
wiki,multisample_glu_rs/ND,0.4988±0.0087
wiki,multisample_glu_rs/NRMSE,2.2865±0.0156
wiki,multisample_glu_rs/CRPS_Sum,0.1140±0.0105
wiki,multisample_glu_rs/ND_Sum,0.1146±0.0106
wiki,multisample_glu_rs/NRMSE_Sum,0.1412±0.0099
