"Name","model","dataset_name","Tags","metric_glu_rs/NRMSE_Sum","metric_glu_rs/ND_Sum","metric_glu_rs/CRPS_Sum","pred_len","epoch","Notes","Runtime","input_dim","enc_in","D3PM_kernel_size","T","UNet_Type","ablation_study_F_type","ablation_study_case","ablation_study_masking_tau","ablation_study_masking_type","beta_max","cond_ddpm_channels_conv","cond_ddpm_num_layers","ddpm_channels_conv","ddpm_channels_fusion_I","ddpm_dim_diff_steps","ddpm_inp_embed","ddpm_layers_I","ddpm_layers_II","ddpm_layers_inp","device","diff_steps","dim_LSTM","interval","model_channels","nfe","num_vars","ot_ode","parameterization","pretrain_epochs","t0","type_sampler","use_freq_enhance","use_window_normalization","vis_ar_part","weight_pred_loss","metric/rse","metric/nrmse","metric_glu_rs/CRPS","metric_glu_rs/ND","metric_glu_rs/NRMSE","metric/nmae_sum","metric/nrmse_sum","metric_glu/CRPS","metric_glu/CRPS_Sum","metric_glu/NRMSE","metric_rs/corr","metric_rs/mae","metric_rs/mape","metric_rs/mse","metric_rs/mspe","metric_rs/nmae","metric_rs/nmae_sum","metric_rs/nrmse","metric_rs/nrmse_sum","metric_rs/rmse","metric_rs/rse","metric_glu/ND_Sum","metric_glu/ND","metric/nmae","metric_glu/NRMSE_Sum (Min)","lr_optim"
"patchtst_2023-11-17_02-38-57","TimeDiff","cup","","0.5196129288653553","0.392388609865082","0.3923886187790997","48","39","wn_l5_5","16143","270","270","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","270","true","x_start","20","0.0001","dpm","0","true","0","0","1.0796483755111694","1.4200843572616575","0.656024101322613","0.6560241030981769","1.191733327838388","0.023679984733462337","0.030059900134801865","1.0007850593639962","1.1366391736197183","1.4200844043580323","{""_type"":""histogram"",""bins"":[-0.5,-0.46875,-0.4375,-0.40625,-0.375,-0.34375,-0.3125,-0.28125,-0.25,-0.21875,-0.1875,-0.15625,-0.125,-0.09375,-0.0625,-0.03125,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5],""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]}","27.729291915893555","31427000","2537.4423828125","241091701328838660","0.6560240983963013","0.008174763061106205","1.1917333602905271","0.010825269855558872","50.37303161621094","0.8835346698760986","1.136639227541158","1.0007850568009702","1.000784993171692","1.2898458210006027","0.0000022528399544939195"
"patchtst_2023-11-17_02-38-57","TimeDiff","traf","","0.552464465710981","0.47927587874728306","0.4792758708682299","24","39","wn_l5_5","23011","963","963","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","963","true","x_start","20","0.0001","dpm","0","true","0","0","1.0124201774597168","1.4258904457092283","0.5486558131211305","0.5486558132347875","0.8136680144024614","0.006085856352001429","0.007000837009400129","1.0079324195612374","1.0224239452567525","1.4258904543633166","[0.008106058463454247,0.0002585704787634313,-0.0019193360349163413,-0.00014126057794783264,0.0011721891351044178,0.0014748048270121217,0.0015239131171256304,0.0017462908290326595,0.0022502345964312553,0.0032647084444761276,0.003336639143526554,-0.0004547619610093534,-0.002036148216575384,-0.002318572485819459,-0.0029914937913417816,-0.0033255405724048615,-0.003059692215174437,0.00013842280895914882,0.003460522275418043,0.002286391332745552,-0.0006454418180510402,-0.0035493348259478807,-0.003648074110969901,0.00007799222657922655]","0.028733499348163605","478.4197692871094","0.001815814757719636","21879504896","0.5486558675765991","0.002852832432836294","0.8136680126190186","0.003288479056209326","0.04261237755417824","0.9835180640220642","1.022423940434729","1.0079324201068067","1.0079325437545776","1.065623767156939","0.0000022528399544939195"
"patchtst_2023-11-17_02-38-55","TimeDiff","taxi","","0.542897227737299","0.4425330040108321","0.4425330038516939","24","32","wn_l5_5","23012","1214","1214","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","1214","true","x_start","20","0.0001","dpm","0","true","0","0","1.053179383277893","1.2778152227401731","0.6805095387174288","0.680509538878699","0.975477394398502","0.0007561637321487069","0.0009316663490608336","1.019608000761974","0.9981360070781016","1.2778153382071216","[0.027218768373131752,0.01442021317780018,0.006315281148999929,0.0033756818156689405,-0.0015464690513908863,-0.005670190788805485,-0.00597015768289566,-0.004894996993243694,-0.001339578186161816,0.0002867082948796451,0.0014823580859228969,0.001418219762854278,0.0022887871600687504,0.0019664065912365913,0.0028194496408104897,0.0028679657261818647,0.0036946514155715704,0.004737767856568098,0.00693741999566555,0.008437341079115868,0.00944608449935913,0.008883663453161716,0.005338418297469616,-0.0028643535915762186]","5.211913108825684","Infinity","55.816219329833984","Infinity","0.6805093884468079","0.00033525226172059774","0.9754773378372192","0.0004112857859581709","7.471025466918945","0.8738340139389038","0.9981360098271256","1.0196080009802806","1.019607663154602","1.190487261979062","0.000004710128697246249"
"patchtst_2023-11-17_02-37-26","TimeDiff","wiki","","0.15659780898652578","0.13167898544188952","0.13167898317392346","30","39","wn_l5_5","23101","2000","2000","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","2000","true","x_start","20","0.0001","dpm","0","true","0","0","1.0233726501464844","3.867271661758423","0.5107159110559294","0.5107159096568785","2.292808709255843","0.003409825498238206","0.004197308793663979","0.6874662521234264","0.511473833840316","3.8672717938155743","[0.006071699317544699,0.005502054467797279,0.00608792481943965,0.006441615521907806,0.005945420358330011,0.006351780146360397,0.0057565574534237385,0.0043492005206644535,0.0036601407919079065,0.003683517687022686,0.003852673340588808,0.003875707276165486,0.004115201998502016,0.004161974415183067,0.0031303369905799627,0.0022207344882190228,0.002430467866361141,0.0022026393562555313,0.002835156163200736,0.003665659110993147,0.003755721962079406,0.0024005225859582424,0.002221244154497981,0.001874302281066775,0.002119953976944089,0.002811725717037916,0.0034112194553017616,0.003156985156238079,0.0018908397760242224,0.0020761978812515736]","1501.2449951171875","1.2772343158721924","45423444","502.61920166015625","0.5107157826423645","0.0008778598275966942","2.292808532714844","0.001043985364958644","6739.69189453125","1.000654935836792","0.5114738202863309","0.6874662510909963","0.6874661445617676","0.48351793554254585","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-25","TimeDiff","sol","","1.5920806517315444","1.335999006346006","1.335999035620556","24","39","wn_l5_5","8771","137","137","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","137","true","x_start","20","0.0001","dpm","0","true","0","0","1.0449204444885254","1.1882261037826538","1.3681496652300076","1.3681496634117838","1.7924387014140648","0.0058906106278300285","0.007042769342660904","0.9715646629207424","0.9896225826226964","1.1882261309063176","[-1.2303814911351907e-10,5.143330206180963e-10,-4.017387533750138e-10,-1.378532149542977e-10,-2.7133520430489e-10,0.00701593142002821,0.007800694555044174,0.007650146726518869,0.005990033503621817,0.004276582971215248,0.004587708972394466,0.005221134517341852,0.003989948891103268,0.002483044750988483,0.0009669954306446016,-0.0007043658988550305,-0.00007189203461166471,2.3745483357373587e-10,-5.930252400254686e-10,2.9256949640732444e-10,4.566682865192462e-10,1.9159991648809438e-10,1.5971233016665032e-11,-1.401708827133974e-12]","42.13785934448242","41795192","3047.659423828125","9801652240384000","1.3681495189666748","0.007952376268804073","1.7924387454986572","0.009476670995354652","55.20561218261719","1.0147148370742798","0.9896225898981656","0.9715646636085964","0.9715645909309388","1.1021665646590388","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-25","TimeDiff","wiki","","0.13879804598073414","0.11083862027975706","0.11083861857878252","30","39","wn_l5_4","23101","2000","2000","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","2000","true","x_start","20","0.0001","dpm","0","true","0","0","1.0228713750839231","3.865377426147461","0.5033444898384091","0.5033444916638802","2.3028372262735797","0.003043204545974731","0.003863874590024352","0.6758211707668356","0.4564807010065009","3.8653774944435857","[0.005664183292537928,0.005674004554748535,0.005507642403244972,0.005578930024057627,0.005638908129185438,0.006030998658388853,0.00550195574760437,0.0040438370779156685,0.0034339334815740585,0.004039332270622253,0.003999445587396622,0.004294001962989569,0.005087061319500208,0.005510496441274881,0.003235179465264082,0.002233004430308938,0.003096152562648058,0.002614530036225915,0.0027845704462379217,0.003520095953717828,0.003430320881307125,0.0016475152224302292,0.001346173812635243,0.0016856875736266377,0.0021243032533675432,0.0017604802269488573,0.002131681190803647,0.002034897683188319,0.001097746891900897,0.002073393203318119]","1479.57666015625","1.3618521690368652","45821668","757.8075561523438","0.5033443570137024","0.0007389241945929825","2.3028368949890137","0.0009253202006220818","6769.17041015625","1.0050315856933594","0.4564806933712866","0.675821171468464","0.6758211255073547","0.49173678176640406","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-25","TimeDiff","taxi","","0.5573045301669243","0.46275300214303366","0.4627530045002679","24","32","wn_l5_4","23103","1214","1214","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","1214","true","x_start","20","0.0001","dpm","0","true","0","0","1.070105791091919","1.298351764678955","0.6872626683882646","0.6872626682686681","0.9841010490136808","0.0007939406204968691","0.0009618678595870732","1.0320451150421328","1.0480015039817552","1.298352365432839","[0.023919669911265373,0.008401625789701939,-0.0013421348994597793,-0.0044519356451928616,-0.00849883072078228,-0.011015993542969229,-0.010852975770831108,-0.01066087745130062,-0.007803710643202066,-0.00523610832169652,-0.0013033555587753654,0.0002308645925950259,0.0021934164687991142,0.0016334932297468183,0.0022273403592407703,0.0010337976273149252,0.0025969739072024822,0.003880550852045417,0.008109684102237225,0.011200083419680595,0.013803393580019474,0.014211735688149927,0.01073033269494772,0.0010130576556548476]","5.26363468170166","Infinity","56.807464599609375","Infinity","0.6872625946998596","0.0003505704808048904","0.9841009974479676","0.00042220039176754653","7.537072658538818","0.8815590739250183","1.0480015048168407","1.0320451152103458","1.032044768333435","1.1600965981080265","0.000004710128697246249"
"patchtst_2023-11-17_02-37-24","TimeDiff","wiki","","0.1416535778031121","0.11437157050644751","0.11437156086759176","30","39","wn_l5_3","23100","2000","2000","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","2000","true","x_start","20","0.0001","dpm","0","true","0","0","1.022705078125","3.86474871635437","0.4963402088009746","0.4963402093561826","2.273641004163021","0.0030856917146593332","0.003900951473042369","0.6717222339783216","0.4628537614603595","3.8647489642094777","[0.006213261745870113,0.005550107453018427,0.006036439910531044,0.006066522561013699,0.005769283510744572,0.006081038620322943,0.0055188974365592,0.003917829133570194,0.0034471650142222643,0.004354751668870449,0.004186851903796196,0.004897685721516609,0.005301482975482941,0.004472997039556503,0.0023009595461189747,0.0022162299137562513,0.0030923765152692795,0.002817974891513586,0.0028192338068038225,0.003390178084373474,0.003165940521284938,0.00233798404224217,0.0013014947762712836,0.0014502726262435317,0.001822990830987692,0.002263901522383094,0.003226797562092542,0.00322497240267694,0.0014803260564804075,0.002147307386621833]","1458.9876708984375","1.214030146598816","44667148","388.3231201171875","0.4963400959968567","0.0007624770514667034","2.2736406326293945","0.000944357190746814","6683.3486328125","0.9922894835472108","0.4628537454204908","0.6717222355015582","0.6717221736907959","0.4911199287412588","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-24","TimeDiff","sol","","1.5726031531708056","1.320754451853133","1.320754452197539","24","39","wn_l5_3","8611","137","137","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","137","true","x_start","20","0.0001","dpm","0","true","0","0","1.033334732055664","1.1750515699386597","1.3563489559507125","1.3563489550533718","1.7728513062178533","0.005820579826831818","0.006955493241548538","0.9626749663273833","0.9778573224806356","1.175051652746404","[-4.5597303710565024e-10,-6.610770958426215e-11,4.816518850425665e-10,6.917860728705705e-10,-2.5163221506474537e-10,0.004949836526066065,0.00518827885389328,0.005254635587334633,0.003805901855230331,0.0013300225837156177,0.0013291394570842383,0.002425066428259015,0.002248434815555811,0.0014327671378850937,0.000740652612876147,-0.0010559996590018272,-0.00004710755820269696,3.8490571840910093e-10,-3.3218711115168276e-10,-1.9028439934842822e-10,3.1206143225048777e-10,-1.756925577245383e-10,-4.4850553826414336e-10,6.027649213091735e-11]","41.774410247802734","41776140","2981.41455078125","9714685595090944","1.3563488721847534","0.007861632853746414","1.7728511095046997","0.009360733442008495","54.60232925415039","1.0036262273788452","0.9778573086572446","0.9626749653071888","0.9626749753952026","1.081492547776258","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-24","TimeDiff","traf","","0.5427582963486293","0.4710724391535755","0.4710724366773017","24","39","wn_l5_4","23101","963","963","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","963","true","x_start","20","0.0001","dpm","0","true","0","0","1.0026085376739502","1.4120715856552124","0.5404148618089339","0.5404148611493325","0.8053253305439576","0.005985932890325785","0.006885239854454994","0.9942344360655876","1.0056367569216182","1.4120715955713303","[0.010105034336447716,0.0033944135066121817,0.0007535155164077878,0.0010452793212607503,0.0015738119836896658,0.002497004112228751,0.002779197646304965,0.002647058805450797,0.0028114011511206627,0.004086608532816172,0.004288898315280676,0.000699177966453135,-0.001122919260524213,-0.0013478926848620176,-0.0015156252775341272,-0.0010062503861263394,-0.00009508236689725892,0.0027183587662875652,0.004431032110005617,0.0032733341213315725,0.001645855139940977,-0.0010330373188480737,-0.001365425530821085,0.0010298345005139709]","0.028301913291215897","480.7522583007813","0.0017787700053304434","22100711424","0.5404148697853088","0.0028040027245879173","0.8053253889083862","0.003230704227462411","0.04217546805739403","0.9734339714050292","1.0056367512992588","0.9942344357186202","0.9942345023155212","1.0667684516200664","0.0000022528399544939195"
